alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,117.52,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183582,1,1,1,3.7846,3.7866,3.7861,3.7873,3.7847,3.7850,3.7829,3.7814,3.7848,3.7852,3.8177,3.7846,3.8041,3.7822,3.7830,3.7814,3.8206,3.7856,3.7827,3.8219,3.7860,3.7695,3.7851,3.7859,3.7854,3.7858,3.7863,3.7857,3.7843,3.7837,3.7838,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,-0.08,-0.01,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,-0.05,-0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183090,1,1,1,3.7846,3.7866,3.7861,3.7873,3.7847,3.7851,3.7829,3.7815,3.7849,3.7853,3.8178,3.7845,3.8041,3.7822,3.7829,3.7815,3.8207,3.7857,3.7827,3.8219,3.7861,3.7694,3.7850,3.7859,3.7854,3.7859,3.7863,3.7857,3.7842,3.7840,3.7838,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.87,32.60,0x0,0x0,0,0,-0.40,-0.03,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,-0.58,-0.04,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182907,1,1,1,3.7847,3.7867,3.7861,3.7873,3.7848,3.7851,3.7829,3.7814,3.7848,3.7853,3.8177,3.7845,3.8041,3.7822,3.7829,3.7815,3.8207,3.7856,3.7828,3.8219,3.7860,3.7694,3.7850,3.7858,3.7854,3.7859,3.7863,3.7858,3.7841,3.7837,3.7837,
Yes,0.00,117.52,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,0.15,0.01,0.00,Yes,0.00,117.32,30.67,101.90,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.23,0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183304,1,1,1,3.7847,3.7866,3.7862,3.7873,3.7847,3.7852,3.7830,3.7815,3.7848,3.7854,3.8178,3.7845,3.8041,3.7823,3.7830,3.7815,3.8209,3.7855,3.7828,3.8219,3.7859,3.7694,3.7850,3.7859,3.7855,3.7859,3.7863,3.7856,3.7840,3.7838,3.7838,
Yes,0.00,117.52,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182505,1,1,1,3.7846,3.7866,3.7860,3.7873,3.7848,3.7851,3.7829,3.7814,3.7846,3.7851,3.8177,3.7845,3.8040,3.7822,3.7829,3.7815,3.8206,3.7857,3.7828,3.8218,3.7859,3.7693,3.7851,3.7859,3.7853,3.7857,3.7863,3.7856,3.7842,3.7838,3.7836,
Yes,0.00,117.52,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,101.90,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183364,1,1,1,3.7846,3.7865,3.7862,3.7872,3.7848,3.7851,3.7829,3.7815,3.7849,3.7852,3.8176,3.7845,3.8040,3.7822,3.7829,3.7813,3.8207,3.7856,3.7828,3.8219,3.7859,3.7694,3.7850,3.7858,3.7854,3.7858,3.7862,3.7857,3.7840,3.7838,3.7838,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,-0.10,-0.01,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,-0.05,-0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183554,1,1,1,3.7847,3.7866,3.7861,3.7873,3.7848,3.7852,3.7829,3.7814,3.7847,3.7852,3.8176,3.7844,3.8039,3.7822,3.7829,3.7814,3.8208,3.7857,3.7827,3.8219,3.7861,3.7694,3.7849,3.7857,3.7854,3.7858,3.7863,3.7856,3.7842,3.7837,3.7838,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.33,30.67,102.18,14.91,3.29,1.86,36.79,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182331,1,1,1,3.7846,3.7865,3.7861,3.7873,3.7849,3.7851,3.7828,3.7813,3.7847,3.7853,3.8175,3.7844,3.8040,3.7823,3.7829,3.7815,3.8207,3.7856,3.7827,3.8218,3.7860,3.7693,3.7849,3.7858,3.7854,3.7857,3.7863,3.7859,3.7841,3.7836,3.7838,
Yes,0.00,117.52,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182482,1,1,1,3.7845,3.7866,3.7860,3.7872,3.7847,3.7851,3.7828,3.7815,3.7846,3.7851,3.8177,3.7844,3.8040,3.7821,3.7830,3.7814,3.8208,3.7855,3.7827,3.8219,3.7861,3.7694,3.7850,3.7857,3.7854,3.7857,3.7864,3.7857,3.7841,3.7837,3.7837,
Yes,0.00,117.52,29.14,4.88,14.93,3.34,1.87,32.60,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182839,1,1,1,3.7846,3.7865,3.7861,3.7873,3.7849,3.7852,3.7829,3.7814,3.7847,3.7851,3.8175,3.7844,3.8040,3.7820,3.7829,3.7816,3.8208,3.7856,3.7828,3.8217,3.7858,3.7694,3.7850,3.7858,3.7854,3.7859,3.7864,3.7858,3.7842,3.7838,3.7839,
Yes,0.00,117.52,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.78,0.00,119.41,-0.182641,1,1,1,3.7847,3.7866,3.7863,3.7873,3.7848,3.7851,3.7830,3.7816,3.7849,3.7853,3.8178,3.7845,3.8041,3.7821,3.7829,3.7815,3.8207,3.7857,3.7827,3.8218,3.7860,3.7694,3.7850,3.7858,3.7855,3.7858,3.7862,3.7858,3.7841,3.7835,3.7839,
Yes,0.00,117.51,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,-0.17,-0.01,0.00,Yes,0.00,117.32,30.67,101.90,14.90,3.29,1.86,36.81,0x0,0x0,0,0,-0.11,-0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182080,1,1,1,3.7845,3.7865,3.7861,3.7873,3.7847,3.7851,3.7829,3.7813,3.7847,3.7852,3.8177,3.7844,3.8040,3.7821,3.7829,3.7815,3.8208,3.7855,3.7827,3.8217,3.7861,3.7693,3.7849,3.7858,3.7854,3.7857,3.7863,3.7857,3.7841,3.7836,3.7839,
Yes,0.00,117.52,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.31,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183531,1,1,1,3.7846,3.7865,3.7861,3.7872,3.7846,3.7852,3.7829,3.7814,3.7849,3.7853,3.8176,3.7845,3.8040,3.7822,3.7829,3.7814,3.8205,3.7857,3.7827,3.8218,3.7859,3.7693,3.7850,3.7857,3.7853,3.7858,3.7862,3.7856,3.7841,3.7837,3.7837,
Yes,0.00,117.51,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,-0.20,-0.01,0.00,Yes,0.00,117.32,30.67,101.90,14.90,3.29,1.86,36.80,0x0,0x0,0,0,-0.43,-0.03,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.55,0.00,0.00,31.78,0.00,119.55,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182986,1,1,1,3.7845,3.7865,3.7861,3.7871,3.7847,3.7852,3.7828,3.7813,3.7846,3.7850,3.8175,3.7844,3.8040,3.7821,3.7829,3.7814,3.8207,3.7855,3.7828,3.8218,3.7860,3.7693,3.7849,3.7857,3.7854,3.7857,3.7863,3.7858,3.7840,3.7835,3.7838,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.86,32.59,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.80,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182986,1,1,1,3.7846,3.7865,3.7861,3.7871,3.7847,3.7851,3.7830,3.7815,3.7848,3.7851,3.8177,3.7845,3.8039,3.7821,3.7828,3.7813,3.8207,3.7856,3.7827,3.8217,3.7860,3.7692,3.7850,3.7857,3.7854,3.7857,3.7863,3.7857,3.7841,3.7837,3.7838,
Yes,0.00,117.51,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.80,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182819,1,1,1,3.7846,3.7865,3.7860,3.7872,3.7847,3.7851,3.7830,3.7812,3.7845,3.7850,3.8176,3.7844,3.8040,3.7822,3.7829,3.7814,3.8207,3.7855,3.7827,3.8218,3.7860,3.7693,3.7850,3.7858,3.7854,3.7858,3.7863,3.7858,3.7841,3.7836,3.7838,
Yes,0.00,117.51,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,-0.00,-0.00,0.00,Yes,0.00,117.32,30.67,101.90,14.90,3.29,1.86,36.81,0x0,0x0,0,0,-0.00,-0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182784,1,1,1,3.7846,3.7866,3.7861,3.7873,3.7847,3.7851,3.7829,3.7816,3.7848,3.7853,3.8175,3.7845,3.8040,3.7821,3.7830,3.7815,3.8208,3.7857,3.7829,3.8218,3.7859,3.7693,3.7850,3.7858,3.7853,3.7858,3.7863,3.7857,3.7840,3.7836,3.7838,
Yes,0.00,117.51,29.15,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.32,30.67,101.90,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.16,0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183527,1,1,1,3.7845,3.7865,3.7861,3.7872,3.7849,3.7852,3.7829,3.7814,3.7846,3.7852,3.8176,3.7844,3.8039,3.7822,3.7829,3.7815,3.8207,3.7856,3.7826,3.8217,3.7859,3.7693,3.7849,3.7857,3.7853,3.7858,3.7863,3.7857,3.7840,3.7836,3.7838,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,0.06,0.00,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.80,0x0,0x0,0,0,0.01,0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182494,1,1,1,3.7846,3.7865,3.7860,3.7872,3.7847,3.7851,3.7829,3.7813,3.7846,3.7851,3.8176,3.7845,3.8040,3.7821,3.7829,3.7814,3.8205,3.7855,3.7826,3.8218,3.7859,3.7692,3.7849,3.7857,3.7853,3.7858,3.7864,3.7856,3.7841,3.7837,3.7838,
Yes,0.00,117.52,29.14,4.88,14.93,3.34,1.86,32.59,0x0,0x0,0,0,0.21,0.01,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,0.27,0.02,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183427,1,1,1,3.7846,3.7866,3.7860,3.7872,3.7847,3.7851,3.7830,3.7815,3.7848,3.7851,3.8177,3.7845,3.8040,3.7822,3.7829,3.7815,3.8207,3.7857,3.7828,3.8219,3.7860,3.7694,3.7850,3.7858,3.7853,3.7857,3.7863,3.7857,3.7840,3.7836,3.7838,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.87,32.58,0x0,0x0,0,0,-0.34,-0.02,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,-0.38,-0.02,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182430,1,1,1,3.7845,3.7865,3.7860,3.7873,3.7847,3.7852,3.7829,3.7815,3.7846,3.7852,3.8176,3.7845,3.8041,3.7822,3.7829,3.7815,3.8207,3.7855,3.7827,3.8219,3.7860,3.7693,3.7849,3.7857,3.7853,3.7857,3.7863,3.7857,3.7839,3.7836,3.7837,
Yes,0.00,117.54,29.14,4.88,14.93,3.34,1.87,32.58,0x0,0x0,0,0,-0.12,-0.01,0.00,Yes,0.00,117.32,30.67,101.90,14.90,3.29,1.86,36.81,0x0,0x0,0,0,-0.11,-0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182124,1,1,1,3.7846,3.7865,3.7860,3.7871,3.7847,3.7850,3.7830,3.7816,3.7849,3.7851,3.8175,3.7844,3.8041,3.7822,3.7829,3.7813,3.8205,3.7857,3.7828,3.8218,3.7859,3.7692,3.7849,3.7858,3.7854,3.7856,3.7862,3.7856,3.7839,3.7837,3.7838,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,-0.17,-0.01,0.00,Yes,0.00,117.31,30.67,102.18,14.90,3.29,1.86,36.81,0x0,0x0,0,0,-0.19,-0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182915,1,1,1,3.7846,3.7865,3.7860,3.7872,3.7846,3.7851,3.7828,3.7815,3.7848,3.7852,3.8176,3.7844,3.8040,3.7821,3.7828,3.7814,3.8207,3.7856,3.7827,3.8218,3.7858,3.7692,3.7850,3.7857,3.7853,3.7857,3.7862,3.7857,3.7840,3.7836,3.7837,
Yes,0.00,117.52,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,-0.29,-0.02,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.80,0x0,0x0,0,0,-0.35,-0.02,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183431,1,1,1,3.7845,3.7866,3.7861,3.7873,3.7847,3.7853,3.7829,3.7815,3.7849,3.7854,3.8178,3.7845,3.8041,3.7821,3.7829,3.7815,3.8208,3.7858,3.7829,3.8219,3.7860,3.7694,3.7850,3.7859,3.7854,3.7860,3.7864,3.7858,3.7841,3.7837,3.7837,
Yes,0.00,117.52,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,-0.13,-0.01,0.00,Yes,0.00,117.32,30.67,101.90,14.91,3.29,1.86,36.80,0x0,0x0,0,0,-0.18,-0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182740,1,1,1,3.7845,3.7866,3.7861,3.7873,3.7847,3.7851,3.7829,3.7814,3.7846,3.7853,3.8176,3.7844,3.8040,3.7821,3.7830,3.7814,3.8207,3.7855,3.7826,3.8218,3.7860,3.7695,3.7850,3.7857,3.7854,3.7858,3.7862,3.7857,3.7840,3.7836,3.7837,
Yes,0.00,117.53,29.14,4.88,14.93,3.34,1.87,32.59,0x0,0x0,0,0,-0.24,-0.02,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.80,0x0,0x0,0,0,-0.20,-0.01,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.183292,1,1,1,3.7845,3.7866,3.7862,3.7872,3.7848,3.7851,3.7829,3.7814,3.7847,3.7851,3.8176,3.7844,3.8038,3.7821,3.7828,3.7814,3.8206,3.7856,3.7825,3.8218,3.7859,3.7693,3.7851,3.7858,3.7853,3.7859,3.7863,3.7858,3.7841,3.7837,3.7837,
Yes,0.00,117.52,29.14,4.88,14.93,3.34,1.86,32.60,0x0,0x0,0,0,-0.11,-0.01,0.00,Yes,0.00,117.32,30.67,102.18,14.90,3.29,1.86,36.80,0x0,0x0,0,0,-0.07,-0.00,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.78,0.00,119.41,-0.183018,1,1,1,3.7845,3.7864,3.7859,3.7871,3.7846,3.7850,3.7829,3.7815,3.7848,3.7852,3.8174,3.7844,3.8038,3.7819,3.7826,3.7813,3.8205,3.7855,3.7826,3.8216,3.7857,3.7693,3.7849,3.7856,3.7852,3.7857,3.7863,3.7857,3.7842,3.7835,3.7837,
Yes,0.00,117.51,29.14,4.88,14.93,3.34,1.86,32.61,0x0,0x0,0,0,0.49,0.03,0.00,Yes,0.00,117.32,30.67,101.90,14.90,3.29,1.86,36.80,0x0,0x0,0,0,0.46,0.03,0.00,Neutral,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0.00,0.00,31.22,0.00,118.92,0.00,0.00,32.33,0.00,118.92,0.00,0.00,30.78,0.00,119.57,0.00,0.00,31.78,0.00,119.57,0.00,0.00,30.78,0.00,119.41,0.00,0.00,31.89,0.00,119.41,-0.182501,1,1,1,3.7845,3.7865,3.7861,3.7872,3.7847,3.7851,3.7828,3.7814,3.7848,3.7851,3.8176,3.7844,3.8039,3.7820,3.7828,3.7814,3.8208,3.7857,3.7827,3.8217,3.7860,3.7693,3.7850,3.7857,3.7854,3.7858,3.7863,3.7857,3.7840,3.7836,3.7837,
